false,true,true,false,false,true,true,true
long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
table,_start,_stop,_time,_value,_field,_measurement,id
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T13:00:00Z,92.54,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T14:00:00Z,88.71,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T15:00:00Z,88.39,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T16:00:00Z,90.9,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T17:00:00Z,100.26,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T18:00:00Z,107.51,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T19:00:00Z,122.91,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T20:00:00Z,125.05,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T21:00:00Z,118.68,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T22:00:00Z,65.08,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-05-T23:00:00Z,37.72,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
3,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-06-T00:00:00Z,35.47,flow,METER,53af51e9-262c-4ae1-a92f-c620a3489e86
4,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T00:00:00Z,-2.33,flow,METER,7d50afd9-4136-4862-8db8-a05d0c65cb9e
4,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T01:00:00Z,-2.26,flow,METER,7d50afd9-4136-4862-8db8-a05d0c65cb9e
4,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T02:00:00Z,-2.08,flow,METER,7d50afd9-4136-4862-8db8-a05d0c65cb9e
4,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T03:00:00Z,-1.5,flow,METER,7d50afd9-4136-4862-8db8-a05d0c65cb9e
4,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T04:00:00Z,-0.3,flow,METER,7d50afd9-4136-4862-8db8-a05d0c65cb9e
4,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T05:00:00Z,1.66,flow,METER,7d50afd9-4136-4862-8db8-a05d0c65cb9e
4,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T06:00:00Z,3.74,flow,METER,7d50afd9-4136-4862-8db8-a05d0c65cb9e
4,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T07:00:00Z,6.5,flow,METER,7d50afd9-4136-4862-8db8-a05d0c65cb9e
4,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T08:00:00Z,15.53,flow,METER,7d50afd9-4136-4862-8db8-a05d0c65cb9e
4,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T09:00:00Z,16.71,flow,METER,7d50afd9-4136-4862-8db8-a05d0c65cb9e
4,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T10:00:00Z,17.8,flow,METER,7d50afd9-4136-4862-8db8-a05d0c65cb9e
4,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T11:00:00Z,18.63,flow,METER,7d50afd9-4136-4862-8db8-a05d0c65cb9e
4,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T12:00:00Z,17.63,flow,METER,7d50afd9-4136-4862-8db8-a05d0c65cb9e
4,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T13:00:00Z,16.95,flow,METER,7d50afd9-4136-4862-8db8-a05d0c65cb9e
